round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,Russia,Russia,1,1,0,England;Russia;Turkey,3
1,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,Russia,6,1,5,Russia,1
1,SPRING,France,2,Russia;Turkey,Russia,2,1,1,England;Russia,2
1,SPRING,Germany,2,Turkey,Turkey,1,1,0,England;Russia;Turkey,3
1,SPRING,Italy,2,,,0,0,0,England,1
1,SPRING,Russia,2,Austria;England;France;Germany;Turkey,Austria;England;France,5,3,2,Austria;England;France,3
1,SPRING,Turkey,1,Austria;Germany,Germany,2,1,1,England;France;Germany;Russia,4
2,FALL,Austria,2,England;France;Russia,England;Russia,3,2,1,England;Italy;Russia,3
2,FALL,England,2,Austria;Turkey,Austria,2,1,1,Austria;France;Germany;Italy;Russia,5
2,FALL,France,2,England;Germany;Italy;Russia,Germany;Italy;Russia,4,3,1,Austria;Germany;Italy;Russia,4
2,FALL,Germany,2,England;France;Italy;Russia;Turkey,France;Italy,5,2,3,France;Italy,2
2,FALL,Italy,2,Austria;England;France;Germany;Russia,France;Germany;Russia,5,3,2,France;Germany;Russia,3
2,FALL,Russia,2,Austria;England;France;Italy,Austria;France;Italy,4,3,1,Austria;France;Germany;Italy,4
2,FALL,Turkey,1,,,0,0,0,England;Germany,2
3,SPRING,Austria,2,England;France;Germany;Italy;Russia;Turkey,France;Italy;Turkey,6,3,3,France;Italy;Turkey,3
3,SPRING,England,2,,,0,0,0,Austria;France;Italy;Russia;Turkey,5
3,SPRING,France,2,Austria;England;Germany;Italy;Russia;Turkey,Austria;Turkey,6,2,4,Austria;Turkey,2
3,SPRING,Germany,2,,,0,0,0,Austria;France;Russia,3
3,SPRING,Italy,2,Austria;England;Russia,Austria,3,1,2,Austria;France,2
3,SPRING,Russia,2,England;Germany;Turkey,,3,0,3,Austria;France;Italy,3
3,SPRING,Turkey,1,Austria;England;France,Austria;France,3,2,1,Austria;France;Russia,3
4,FALL,Austria,2,,,0,0,0,England;France;Italy;Russia,4
4,FALL,England,2,Austria;France;Germany;Russia,Russia,4,1,3,Russia;Turkey,2
4,FALL,France,2,Austria;Italy;Russia;Turkey,Russia;Turkey,4,2,2,England;Russia;Turkey,3
4,FALL,Germany,2,,,0,0,0,England,1
4,FALL,Italy,2,Austria;Turkey,Turkey,2,1,1,France;Russia;Turkey,3
4,FALL,Russia,2,Austria;England;France;Italy;Turkey,England;France,5,2,3,England;France,2
4,FALL,Turkey,1,England;France;Italy,France;Italy,3,2,1,France;Italy;Russia,3
5,SPRING,Austria,2,Turkey,,1,0,1,England;Italy;Russia,3
5,SPRING,England,2,Austria;France;Turkey,France,3,1,2,France;Russia,2
5,SPRING,France,2,England;Italy,England;Italy,2,2,0,England;Italy,2
5,SPRING,Germany,2,Russia,Russia,1,1,0,Italy;Russia,2
5,SPRING,Italy,2,Austria;France;Germany;Turkey,France,4,1,3,France;Russia,2
5,SPRING,Russia,2,Austria;England;Germany;Italy,Germany,4,1,3,Germany;Turkey,2
5,SPRING,Turkey,1,Russia,,1,0,1,Austria;England;Italy,3
6,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,England;Germany;Italy;Russia;Turkey,6,5,1,England;Germany;Italy;Russia;Turkey,5
6,FALL,England,2,Austria;Germany;Italy;Russia;Turkey,Austria;Italy;Turkey,5,3,2,Austria;Italy;Turkey,3
6,FALL,France,2,Turkey,Turkey,1,1,0,Austria;Germany;Italy;Turkey,4
6,FALL,Germany,2,Austria;France,Austria,2,1,1,Austria;England;Russia;Turkey,4
6,FALL,Italy,2,Austria;England;France;Russia;Turkey,Austria;England;Russia;Turkey,5,4,1,Austria;England;Russia;Turkey,4
6,FALL,Russia,2,Austria;Germany;Italy,Austria;Italy,3,2,1,Austria;England;Italy;Turkey,4
6,FALL,Turkey,1,Austria;England;France;Germany;Italy;Russia,Austria;England;France;Italy,6,4,2,Austria;England;France;Italy,4
7,SPRING,Austria,2,Italy,Italy,1,1,0,England;Italy;Russia;Turkey,4
7,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,France;Germany,6,2,4,France;Germany,2
7,SPRING,France,2,England;Germany,England;Germany,2,2,0,England;Germany,2
