round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,Russia,Russia,1,1,0,England;Russia;Turkey,3
1,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,Russia,6,1,5,Russia,1
1,SPRING,France,2,Russia;Turkey,Russia,2,1,1,England;Russia,2
1,SPRING,Germany,2,Turkey,Turkey,1,1,0,England;Russia;Turkey,3
1,SPRING,Italy,1,,,0,0,0,England,1
1,SPRING,Russia,1,Austria;England;France;Germany;Turkey,Austria;England;France,5,3,2,Austria;England;France,3
1,SPRING,Turkey,1,Austria;Germany,Germany,2,1,1,England;France;Germany;Russia,4
2,FALL,Austria,2,England;France;Russia,England;Russia,3,2,1,England;Italy;Russia,3
2,FALL,England,2,Austria;Turkey,Austria,2,1,1,Austria;France;Germany;Italy;Russia,5
2,FALL,France,2,England;Germany;Italy;Russia,Germany;Italy;Russia,4,3,1,Austria;Germany;Italy;Russia,4
2,FALL,Germany,2,England;France;Italy;Russia;Turkey,France;Italy,5,2,3,France;Italy,2
2,FALL,Italy,1,Austria;England;France;Germany;Russia,France;Germany;Russia,5,3,2,France;Germany;Russia,3
2,FALL,Russia,1,Austria;England;France;Italy,Austria;France;Italy,4,3,1,Austria;France;Germany;Italy,4
2,FALL,Turkey,1,,,0,0,0,England;Germany,2
3,SPRING,Austria,2,,,0,0,0,England;Italy;Russia;Turkey,4
3,SPRING,England,2,Austria;Germany;Italy,,3,0,3,Turkey,1
3,SPRING,France,2,,,0,0,0,Germany,1
3,SPRING,Germany,2,France,,1,0,1,England,1
3,SPRING,Italy,1,Austria,,1,0,1,England,1
3,SPRING,Russia,1,Austria;Turkey,,2,0,2,,0
3,SPRING,Turkey,1,Austria;England,,2,0,2,Russia,1
4,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,Germany;Italy;Russia,6,3,3,Germany;Italy;Russia,3
4,FALL,England,2,Turkey,Turkey,1,1,0,Austria;Germany;Italy;Russia;Turkey,5
4,FALL,France,2,Turkey,Turkey,1,1,0,Austria;Italy;Turkey,3
4,FALL,Germany,2,Austria;England;Turkey,Austria;Turkey,3,2,1,Austria;Italy;Turkey,3
4,FALL,Italy,1,Austria;England;France;Germany;Russia;Turkey,Austria;Russia;Turkey,6,3,3,Austria;Russia;Turkey,3
4,FALL,Russia,1,Austria;England;Italy,Austria;Italy,3,2,1,Austria;Italy;Turkey,3
4,FALL,Turkey,1,England;France;Germany;Italy;Russia,England;France;Germany;Italy,5,4,1,Austria;England;France;Germany;Italy,5
5,SPRING,Austria,2,England;Germany;Turkey,Germany,3,1,2,France;Germany;Italy;Russia,4
5,SPRING,England,2,France,France,1,1,0,Austria;France;Germany;Russia,4
5,SPRING,France,2,Austria;England;Germany;Italy;Russia;Turkey,England;Germany;Italy;Russia;Turkey,6,5,1,England;Germany;Italy;Russia;Turkey,5
5,SPRING,Germany,2,Austria;England;France;Turkey,Austria;France,4,2,2,Austria;France;Italy,3
5,SPRING,Italy,1,Austria;France;Germany,France,3,1,2,France;Russia,2
5,SPRING,Russia,1,Austria;England;France;Italy,France,4,1,3,France,1
5,SPRING,Turkey,1,France,France,1,1,0,Austria;France;Germany,3
6,FALL,Austria,2,England;France;Germany;Italy;Turkey,England;Germany,5,2,3,England;Germany,2
6,FALL,England,2,Austria;France;Germany;Italy;Russia;Turkey,Austria;France;Germany;Russia,6,4,2,Austria;France;Germany;Russia,4
6,FALL,France,2,England;Germany;Italy;Russia;Turkey,England;Germany,5,2,3,Austria;England;Germany,3
6,FALL,Germany,2,Austria;England;France;Russia;Turkey,Austria;England;France,5,3,2,Austria;England;France,3
6,FALL,Italy,1,,,0,0,0,Austria;England;France;Russia,4
6,FALL,Russia,1,England;Italy,England,2,1,1,England;France;Germany,3
6,FALL,Turkey,1,,,0,0,0,Austria;England;France;Germany,4
7,SPRING,Austria,2,Italy;Turkey,Turkey,2,1,1,Russia;Turkey,2
7,SPRING,England,2,France;Russia;Turkey,,3,0,3,,0
7,SPRING,France,2,,,0,0,0,England;Germany;Turkey,3
7,SPRING,Germany,2,France;Italy,,2,0,2,Russia,1
7,SPRING,Italy,1,,,0,0,0,Austria;Germany,2
7,SPRING,Russia,1,Austria;Germany,,2,0,2,England,1
