round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
11,SPRING,England,1,Russia;Turkey,Turkey,2,1,1,France;Turkey,2
11,SPRING,France,1,Austria;England;Germany;Italy;Russia;Turkey,Germany,6,1,5,Germany,1
11,SPRING,Germany,1,France;Russia,France,2,1,1,Austria;France,2
11,SPRING,Italy,1,Austria,,1,0,1,France,1
11,SPRING,Russia,1,,,0,0,0,England;France;Germany,3
11,SPRING,Turkey,2,England,England,1,1,0,Austria;England;France,3
12,FALL,Austria,1,France;Italy,,2,0,2,Germany,1
12,FALL,England,1,Germany,Germany,1,1,0,France;Germany;Russia;Turkey,4
12,FALL,France,1,England;Russia,Russia,2,1,1,Austria;Russia,2
12,FALL,Germany,1,Austria;England;Italy;Russia,England,4,1,3,England,1
12,FALL,Italy,1,,,0,0,0,Austria;Germany,2
12,FALL,Russia,1,England;France;Turkey,France,3,1,2,France;Germany,2
12,FALL,Turkey,2,England,,1,0,1,Russia,1
13,SPRING,Austria,1,England;Germany;Russia,Germany;Russia,3,2,1,France;Germany;Russia;Turkey,4
13,SPRING,England,1,Turkey,,1,0,1,Austria;France;Germany;Russia,4
13,SPRING,France,1,Austria;England;Russia;Turkey,Russia,4,1,3,Germany;Russia,2
13,SPRING,Germany,1,Austria;England;France;Italy;Russia;Turkey,Austria;Russia,6,2,4,Austria;Russia,2
13,SPRING,Italy,1,,,0,0,0,Germany;Russia,2
13,SPRING,Russia,1,Austria;England;France;Germany;Italy;Turkey,Austria;France;Germany,6,3,3,Austria;France;Germany,3
13,SPRING,Turkey,2,Austria,,1,0,1,England;France;Germany;Russia,4
14,FALL,Austria,1,France;Germany;Russia,Russia,3,1,2,Russia;Turkey,2
14,FALL,England,1,Russia;Turkey,Russia;Turkey,2,2,0,Russia;Turkey,2
14,FALL,France,1,Russia,,1,0,1,Austria;Germany;Turkey,3
14,FALL,Germany,1,France;Russia,Russia,2,1,1,Austria;Italy;Russia,3
14,FALL,Italy,1,Germany;Turkey,,2,0,2,,0
14,FALL,Russia,1,Austria;England;Germany;Turkey,Austria;England;Germany,4,3,1,Austria;England;France;Germany,4
14,FALL,Turkey,2,Austria;England;France,England,3,1,2,England;Italy;Russia,3
15,SPRING,Austria,1,England;France;Germany;Italy;Russia;Turkey,France;Turkey,6,2,4,France;Turkey,2
15,SPRING,England,1,France;Italy,Italy,2,1,1,Austria;Italy;Turkey,3
15,SPRING,France,1,Austria;Germany;Russia,Austria;Germany,3,2,1,Austria;England;Germany,3
15,SPRING,Germany,1,France,France,1,1,0,Austria;France;Italy,3
15,SPRING,Italy,1,England;Germany;Russia;Turkey,England,4,1,3,Austria;England,2
15,SPRING,Russia,1,,,0,0,0,Austria;France;Italy,3
15,SPRING,Turkey,2,Austria;England,Austria,2,1,1,Austria;Italy,2
16,FALL,Austria,1,Italy,Italy,1,1,0,France;Germany;Italy,3
16,FALL,England,1,France;Germany;Italy;Turkey,France;Germany;Turkey,4,3,1,France;Germany;Turkey,3
16,FALL,France,1,Austria;England;Italy;Turkey,England;Italy;Turkey,4,3,1,England;Germany;Italy;Turkey,4
16,FALL,Germany,1,Austria;England;France;Italy;Russia;Turkey,England;Russia;Turkey,6,3,3,England;Russia;Turkey,3
16,FALL,Italy,1,Austria;France;Russia,Austria;France;Russia,3,3,0,Austria;England;France;Germany;Russia;Turkey,6
