round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,France,,1,0,1,Germany;Italy,2
1,SPRING,England,2,Germany;Italy;Turkey,Germany;Italy,3,2,1,Germany;Italy,2
1,SPRING,France,2,Germany;Italy;Russia;Turkey,Germany;Italy;Turkey,4,3,1,Austria;Germany;Italy;Turkey,4
1,SPRING,Germany,2,Austria;England;France;Italy;Russia,England;France;Italy;Russia,5,4,1,England;France;Italy;Russia,4
1,SPRING,Italy,2,Austria;England;France;Germany;Russia;Turkey,England;France;Germany;Turkey,6,4,2,England;France;Germany;Turkey,4
1,SPRING,Russia,2,Germany,Germany,1,1,0,France;Germany;Italy,3
1,SPRING,Turkey,3,France;Italy,France;Italy,2,2,0,England;France;Italy,3
2,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,Italy;Russia,6,2,4,Italy;Russia,2
2,FALL,England,2,Russia,Russia,1,1,0,Austria;France;Italy;Russia;Turkey,5
2,FALL,France,2,England;Italy,Italy,2,1,1,Austria;Italy;Russia;Turkey,4
2,FALL,Germany,2,Italy,Italy,1,1,0,Austria;Italy;Russia,3
2,FALL,Italy,2,Austria;England;France;Germany;Russia;Turkey,Austria;France;Germany;Russia,6,4,2,Austria;France;Germany;Russia,4
2,FALL,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;England;Italy;Turkey,6,4,2,Austria;England;Italy;Turkey,4
2,FALL,Turkey,3,England;France;Russia,Russia,3,1,2,Austria;Italy;Russia,3
3,SPRING,Austria,2,England;Germany;Russia,England;Germany;Russia,3,3,0,England;France;Germany;Italy;Russia,5
3,SPRING,England,2,Austria;France;Italy;Turkey,Austria;Italy,4,2,2,Austria;Italy,2
3,SPRING,France,2,Austria;Germany;Russia,Germany;Russia,3,2,1,England;Germany;Italy;Russia,4
3,SPRING,Germany,2,Austria;France;Russia;Turkey,Austria;France;Russia,4,3,1,Austria;France;Italy;Russia,4
3,SPRING,Italy,2,Austria;England;France;Germany;Russia;Turkey,England,6,1,5,England,1
3,SPRING,Russia,2,Austria;France;Germany;Turkey,Austria;France;Germany,4,3,1,Austria;France;Germany;Italy,4
3,SPRING,Turkey,3,,,0,0,0,England;Germany;Italy;Russia,4
4,FALL,Austria,2,France;Germany;Turkey,France,3,1,2,France;Italy,2
4,FALL,England,2,Germany;Italy;Turkey,,3,0,3,France;Russia,2
4,FALL,France,2,Austria;England;Germany;Russia;Turkey,Austria;Russia,5,2,3,Austria;Italy;Russia,3
4,FALL,Germany,2,,,0,0,0,Austria;England;France;Italy;Russia,5
4,FALL,Italy,2,Austria;France;Germany,,3,0,3,England;Russia,2
4,FALL,Russia,2,England;France;Germany;Italy;Turkey,France,5,1,4,France,1
4,FALL,Turkey,3,,,0,0,0,Austria;England;France;Russia,4
5,SPRING,Austria,2,England;France;Turkey,,3,0,3,,0
5,SPRING,England,2,France;Germany;Italy;Russia;Turkey,Italy,5,1,4,Austria;Italy,2
5,SPRING,France,2,,,0,0,0,Austria;England;Germany,3
5,SPRING,Germany,2,France;Russia,Russia,2,1,1,England;Russia,2
5,SPRING,Italy,2,England;Russia;Turkey,England,3,1,2,England,1
5,SPRING,Russia,2,Germany;Turkey,Germany,2,1,1,England;Germany;Italy,3
5,SPRING,Turkey,3,,,0,0,0,Austria;England;Italy;Russia,4
6,FALL,Austria,2,Germany;Italy;Russia;Turkey,Germany;Russia,4,2,2,England;France;Germany;Russia,4
6,FALL,England,2,Austria;France,France,2,1,1,France;Germany;Russia,3
6,FALL,France,2,Austria;England;Germany;Italy;Russia;Turkey,England;Germany,6,2,4,England;Germany,2
6,FALL,Germany,2,Austria;England;France;Italy;Russia;Turkey,Austria;France;Russia,6,3,3,Austria;France;Russia,3
6,FALL,Italy,2,Russia,,1,0,1,Austria;France;Germany,3
6,FALL,Russia,2,Austria;England;Germany,Austria;Germany,3,2,1,Austria;France;Germany;Italy,4
6,FALL,Turkey,3,,,0,0,0,Austria;France;Germany,3
