round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,3,Russia,Russia,1,1,0,England;Russia;Turkey,3
1,SPRING,England,3,Austria;France;Germany;Italy;Russia;Turkey,Russia,6,1,5,Russia,1
1,SPRING,France,3,Russia;Turkey,Russia,2,1,1,England;Russia,2
1,SPRING,Germany,3,Turkey,Turkey,1,1,0,England;Russia;Turkey,3
1,SPRING,Italy,2,,,0,0,0,England,1
1,SPRING,Russia,2,Austria;England;France;Germany;Turkey,Austria;England;France,5,3,2,Austria;England;France,3
1,SPRING,Turkey,2,Austria;Germany,Germany,2,1,1,England;France;Germany;Russia,4
2,FALL,Austria,3,England;France;Russia,England;Russia,3,2,1,England;Italy;Russia,3
2,FALL,England,3,Austria;France;Turkey,Austria;France,3,2,1,Austria;France;Germany;Italy;Russia,5
2,FALL,France,3,England;Germany;Italy;Russia,England;Germany;Italy;Russia,4,4,0,Austria;England;Germany;Italy;Russia,5
2,FALL,Germany,3,England;France;Italy;Russia;Turkey,France;Italy,5,2,3,France;Italy,2
2,FALL,Italy,2,Austria;England;France;Germany;Russia,France;Germany;Russia,5,3,2,France;Germany;Russia,3
2,FALL,Russia,2,Austria;England;France;Italy,Austria;France;Italy,4,3,1,Austria;France;Germany;Italy,4
2,FALL,Turkey,2,,,0,0,0,England;Germany,2
3,SPRING,Austria,3,,,0,0,0,England;France;Italy;Turkey,4
3,SPRING,England,3,Austria;Germany;Italy,,3,0,3,Turkey,1
3,SPRING,France,3,Austria,,1,0,1,Germany,1
3,SPRING,Germany,3,France,,1,0,1,England,1
3,SPRING,Italy,2,Austria;Russia,,2,0,2,England,1
3,SPRING,Russia,2,Turkey,,1,0,1,Italy,1
3,SPRING,Turkey,2,Austria;England,,2,0,2,Russia,1
4,FALL,Austria,3,England;France;Germany;Italy;Russia;Turkey,Germany;Italy;Russia;Turkey,6,4,2,Germany;Italy;Russia;Turkey,4
4,FALL,England,3,,,0,0,0,Austria;Germany;Italy;Russia;Turkey,5
4,FALL,France,3,Turkey,Turkey,1,1,0,Austria;Italy;Russia;Turkey,4
4,FALL,Germany,3,Austria;England;Italy;Russia;Turkey,Austria;Italy;Turkey,5,3,2,Austria;Italy;Turkey,3
4,FALL,Italy,2,Austria;England;France;Germany;Russia;Turkey,Austria;Germany;Russia;Turkey,6,4,2,Austria;Germany;Russia;Turkey,4
4,FALL,Russia,2,Austria;England;France;Italy,Austria;Italy,4,2,2,Austria;Germany;Italy,3
4,FALL,Turkey,2,Austria;England;France;Germany;Italy,Austria;France;Germany;Italy,5,4,1,Austria;France;Germany;Italy,4
5,SPRING,Austria,3,England;Germany;Turkey,,3,0,3,France;Italy;Russia,3
5,SPRING,England,3,France,France,1,1,0,Austria;France;Russia,3
5,SPRING,France,3,Austria;England;Germany;Italy;Russia;Turkey,England;Russia,6,2,4,England;Russia,2
5,SPRING,Germany,3,,,0,0,0,Austria;France;Italy;Russia,4
5,SPRING,Italy,2,Austria;Germany;Turkey,Turkey,3,1,2,France;Russia;Turkey,3
5,SPRING,Russia,2,Austria;England;France;Germany;Italy;Turkey,France,6,1,5,France,1
5,SPRING,Turkey,2,Italy,Italy,1,1,0,Austria;France;Italy;Russia,4
6,FALL,Austria,3,Turkey,,1,0,1,France;Germany,2
6,FALL,England,3,Germany;Italy;Russia;Turkey,Germany;Russia,4,2,2,France;Germany;Russia,3
6,FALL,France,3,Austria;England;Italy;Russia;Turkey,,5,0,5,Germany,1
6,FALL,Germany,3,Austria;England;France;Turkey,England,4,1,3,England;Russia,2
6,FALL,Italy,2,,,0,0,0,England;France;Russia,3
6,FALL,Russia,2,England;Germany;Italy,England,3,1,2,England;France,2
6,FALL,Turkey,2,,,0,0,0,Austria;England;France;Germany,4
7,SPRING,Austria,3,Turkey,,1,0,1,England;Germany;Italy,3
7,SPRING,England,3,Austria;France;Germany;Italy;Russia,Italy,5,1,4,Italy,1
7,SPRING,France,3,,,0,0,0,England;Italy,2
7,SPRING,Germany,3,Austria,,1,0,1,England,1
7,SPRING,Italy,2,Austria;England;France;Turkey,England,4,1,3,England,1
7,SPRING,Russia,2,,,0,0,0,England,1
7,SPRING,Turkey,2,,,0,0,0,Austria;Italy,2
8,FALL,Austria,3,,,0,0,0,France;Italy;Turkey,3
