round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
11,SPRING,Germany,2,Austria;France;Turkey,,3,0,3,Italy;Russia,2
11,SPRING,Italy,2,England;France;Germany;Turkey,France;Turkey,4,2,2,Austria;France;Russia;Turkey,4
11,SPRING,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;France;Turkey,6,3,3,Austria;France;Turkey,3
11,SPRING,Turkey,3,England;France;Italy;Russia,France;Italy;Russia,4,3,1,France;Germany;Italy;Russia,4
12,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,France;Italy;Russia;Turkey,6,4,2,France;Italy;Russia;Turkey,4
12,FALL,England,2,Germany;Turkey,Germany;Turkey,2,2,0,Austria;Germany;Russia;Turkey,4
12,FALL,France,2,Austria;Russia;Turkey,Austria;Russia,3,2,1,Austria;Germany;Russia,3
12,FALL,Germany,2,England;France;Turkey,England;Turkey,3,2,1,Austria;England;Russia;Turkey,4
12,FALL,Italy,2,Austria;Turkey,Austria,2,1,1,Austria;Russia,2
12,FALL,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;France;Turkey,6,3,3,Austria;France;Turkey,3
12,FALL,Turkey,3,Austria;England;Germany;Russia,Austria;England;Germany;Russia,4,4,0,Austria;England;France;Germany;Italy;Russia,6
13,SPRING,Austria,2,France;Italy;Russia,Russia,3,1,2,England;Russia,2
13,SPRING,England,2,Austria;Italy;Russia,,3,0,3,Turkey,1
13,SPRING,France,2,,,0,0,0,Austria;Germany;Italy;Turkey,4
13,SPRING,Germany,2,France;Russia,,2,0,2,Italy;Turkey,2
13,SPRING,Italy,2,France;Germany;Russia;Turkey,Russia,4,1,3,Austria;England;Russia,3
13,SPRING,Russia,2,Austria;Italy;Turkey,Austria;Italy,3,2,1,Austria;England;Germany;Italy,4
13,SPRING,Turkey,3,England;France;Germany,,3,0,3,Italy;Russia,2
14,FALL,Austria,2,Germany;Italy;Russia;Turkey,,4,0,4,,0
14,FALL,England,2,Russia,,1,0,1,Germany,1
14,FALL,France,2,,,0,0,0,,0
14,FALL,Germany,2,England,,1,0,1,Austria;Italy,2
14,FALL,Italy,2,Germany;Russia;Turkey,,3,0,3,Austria,1
14,FALL,Russia,2,Turkey,,1,0,1,Austria;England;Italy,3
14,FALL,Turkey,3,,,0,0,0,Austria;Italy;Russia,3
15,SPRING,Austria,2,England;France;Germany;Russia;Turkey,England;France;Russia,5,3,2,England;France;Russia,3
15,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,Austria;France;Italy;Russia;Turkey,6,5,1,Austria;France;Italy;Russia;Turkey,5
15,SPRING,France,2,Austria;England;Germany;Italy;Russia;Turkey,Austria;England;Russia,6,3,3,Austria;England;Russia,3
15,SPRING,Germany,2,,,0,0,0,Austria;England;France;Russia,4
15,SPRING,Italy,2,England;Turkey,England,2,1,1,England;France;Russia,3
15,SPRING,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;England;France;Turkey,6,4,2,Austria;England;France;Turkey,4
15,SPRING,Turkey,3,England;Russia,England;Russia,2,2,0,Austria;England;France;Italy;Russia,5
16,FALL,Austria,2,England;France;Italy;Russia,England;France;Russia,4,3,1,England;France;Germany;Russia,4
16,FALL,England,2,Austria;France;Germany;Italy;Russia;Turkey,Austria;Germany;Russia;Turkey,6,4,2,Austria;Germany;Russia;Turkey,4
16,FALL,France,2,Austria;Germany;Turkey,Austria;Germany,3,2,1,Austria;England;Germany;Russia,4
16,FALL,Germany,2,Austria;England;France;Italy;Russia;Turkey,England;France;Italy;Russia;Turkey,6,5,1,England;France;Italy;Russia;Turkey,5
16,FALL,Italy,2,Germany,Germany,1,1,0,Austria;England;Germany;Russia;Turkey,5
16,FALL,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;England;Germany;Turkey,6,4,2,Austria;England;Germany;Turkey,4
16,FALL,Turkey,3,England;Germany;Italy;Russia,England;Germany;Russia,4,3,1,England;France;Germany;Russia,4
17,SPRING,Austria,2,Italy,Italy,1,1,0,Germany;Italy;Russia;Turkey,4
17,SPRING,England,2,France,,1,0,1,Germany;Russia,2
17,SPRING,France,2,Germany;Italy;Turkey,Germany,3,1,2,England;Germany;Russia,3
17,SPRING,Germany,2,Austria;England;France;Italy;Russia;Turkey,France;Russia,6,2,4,France;Russia,2
17,SPRING,Italy,2,Austria;Turkey,Austria,2,1,1,Austria;France;Germany;Russia,4
17,SPRING,Russia,2,Austria;England;France;Germany;Italy;Turkey,Germany,6,1,5,Germany,1
17,SPRING,Turkey,3,Austria,,1,0,1,France;Germany;Italy;Russia,4
18,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,France;Germany;Italy,6,3,3,France;Germany;Italy,3
18,FALL,England,2,France;Russia,,2,0,2,Austria;Germany;Italy,3
18,FALL,France,2,Austria;Germany;Turkey,Austria;Turkey,3,2,1,Austria;England;Italy;Russia;Turkey,5
18,FALL,Germany,2,Austria;England;Italy;Russia;Turkey,Austria;Italy;Russia;Turkey,5,4,1,Austria;France;Italy;Russia;Turkey,5
