round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,France,,1,0,1,Germany;Italy,2
1,SPRING,England,2,Germany;Italy;Turkey,Germany;Italy,3,2,1,Germany;Italy,2
1,SPRING,France,1,Germany;Italy;Russia;Turkey,Germany;Italy,4,2,2,Austria;Germany;Italy,3
1,SPRING,Germany,1,Austria;England;France;Italy;Russia,England;France;Italy;Russia,5,4,1,England;France;Italy;Russia,4
1,SPRING,Italy,1,Austria;England;France;Germany;Russia;Turkey,England;France;Germany,6,3,3,England;France;Germany,3
1,SPRING,Russia,1,Germany,Germany,1,1,0,France;Germany;Italy,3
1,SPRING,Turkey,1,,,0,0,0,England;France;Italy,3
2,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,Italy;Russia,6,2,4,Italy;Russia,2
2,FALL,England,2,Russia,Russia,1,1,0,Austria;France;Italy;Russia;Turkey,5
2,FALL,France,1,England;Italy,Italy,2,1,1,Austria;Italy;Russia;Turkey,4
2,FALL,Germany,1,Italy,Italy,1,1,0,Austria;Italy;Russia,3
2,FALL,Italy,1,Austria;England;France;Germany;Russia;Turkey,Austria;France;Germany;Russia,6,4,2,Austria;France;Germany;Russia,4
2,FALL,Russia,1,Austria;England;France;Germany;Italy;Turkey,Austria;England;Italy;Turkey,6,4,2,Austria;England;Italy;Turkey,4
2,FALL,Turkey,1,England;France;Russia,Russia,3,1,2,Austria;Italy;Russia,3
3,SPRING,Austria,2,England;Germany,England,2,1,1,England;France;Italy;Russia,4
3,SPRING,England,2,Austria;Russia,Austria;Russia,2,2,0,Austria;France;Italy;Russia,4
3,SPRING,France,1,Austria;England;Italy;Turkey,Italy,4,1,3,Germany;Italy;Russia,3
3,SPRING,Germany,1,France;Russia;Turkey,Russia,3,1,2,Austria;Italy;Russia,3
3,SPRING,Italy,1,Austria;England;France;Germany;Russia;Turkey,France;Russia,6,2,4,France;Russia,2
3,SPRING,Russia,1,Austria;England;France;Germany;Italy;Turkey,England;Germany;Italy,6,3,3,England;Germany;Italy,3
3,SPRING,Turkey,1,,,0,0,0,France;Germany;Italy;Russia,4
4,FALL,Austria,2,France;Germany;Russia;Turkey,France;Germany;Turkey,4,3,1,France;Germany;Italy;Turkey,4
4,FALL,England,2,France;Italy;Turkey,Italy;Turkey,3,2,1,Italy;Turkey,2
4,FALL,France,1,Austria;Germany;Italy;Russia;Turkey,Austria;Germany;Italy;Russia,5,4,1,Austria;England;Germany;Italy;Russia,5
4,FALL,Germany,1,Austria;France;Italy;Russia;Turkey,Austria;France;Italy,5,3,2,Austria;France;Italy,3
4,FALL,Italy,1,Austria;England;France;Germany;Russia,England;France;Germany,5,3,2,England;France;Germany,3
4,FALL,Russia,1,France;Turkey,France;Turkey,2,2,0,Austria;France;Germany;Italy;Turkey,5
4,FALL,Turkey,1,Austria;England;Russia,Austria;England;Russia,3,3,0,Austria;England;France;Germany;Russia,5
5,SPRING,Austria,2,Turkey,,1,0,1,England;France;Italy,3
5,SPRING,England,2,Austria;Italy;Turkey,Italy,3,1,2,France;Italy,2
5,SPRING,France,1,Austria;England;Germany;Italy;Russia;Turkey,,6,0,6,,0
5,SPRING,Germany,1,,,0,0,0,France,1
5,SPRING,Italy,1,Austria;England;Russia,England,3,1,2,England;France,2
5,SPRING,Russia,1,,,0,0,0,France;Italy,2
5,SPRING,Turkey,1,,,0,0,0,Austria;England;France,3
6,FALL,Austria,2,Italy;Turkey,Turkey,2,1,1,France;Turkey,2
6,FALL,England,2,,,0,0,0,France;Italy,2
6,FALL,France,1,Austria;England;Germany;Italy;Russia;Turkey,,6,0,6,,0
6,FALL,Germany,1,Russia,,1,0,1,France,1
6,FALL,Italy,1,England,,1,0,1,Austria;France;Russia,3
6,FALL,Russia,1,Italy;Turkey,,2,0,2,France;Germany,2
6,FALL,Turkey,1,Austria,Austria,1,1,0,Austria;France;Russia,3
7,SPRING,Austria,2,Turkey,,1,0,1,France,1
7,SPRING,England,2,France;Turkey,France,2,1,1,France;Germany,2
