round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,Italy,,1,0,1,Turkey,1
1,SPRING,England,2,France,,1,0,1,Italy;Russia;Turkey,3
1,SPRING,France,2,Germany;Italy,,2,0,2,England,1
1,SPRING,Germany,2,,,0,0,0,France;Italy,2
1,SPRING,Italy,1,England;Germany;Russia;Turkey,,4,0,4,Austria;France,2
1,SPRING,Russia,1,England,,1,0,1,Italy,1
1,SPRING,Turkey,1,Austria;England,,2,0,2,Italy,1
2,FALL,Austria,2,England;Italy,,2,0,2,Turkey,1
2,FALL,England,2,France,France,1,1,0,Austria;France;Germany;Russia;Turkey,5
2,FALL,France,2,England;Russia,England,2,1,1,England,1
2,FALL,Germany,2,England;Russia;Turkey,Russia,3,1,2,Russia,1
2,FALL,Italy,1,Turkey,Turkey,1,1,0,Austria;Turkey,2
2,FALL,Russia,1,England;Germany,Germany,2,1,1,France;Germany;Turkey,3
2,FALL,Turkey,1,Austria;England;Italy;Russia,Italy,4,1,3,Germany;Italy,2
3,SPRING,Austria,2,Italy,,1,0,1,France;Germany;Russia;Turkey,4
3,SPRING,England,2,Germany;Italy,Germany,2,1,1,Germany;Russia,2
3,SPRING,France,2,Austria;Italy;Turkey,Italy,3,1,2,Germany;Italy,2
3,SPRING,Germany,2,Austria;England;France,England,3,1,2,England;Turkey,2
3,SPRING,Italy,1,France;Russia,France,2,1,1,Austria;England;France,3
3,SPRING,Russia,1,Austria;England;Turkey,,3,0,3,Italy,1
3,SPRING,Turkey,1,Austria;Germany,,2,0,2,France;Russia,2
4,FALL,Austria,2,Turkey,,1,0,1,Germany;Russia,2
4,FALL,England,2,France,,1,0,1,Germany;Italy;Russia,3
4,FALL,France,2,Germany;Turkey,,2,0,2,England;Italy;Russia,3
4,FALL,Germany,2,Austria;England;Italy;Turkey,Italy,4,1,3,France;Italy;Russia,3
4,FALL,Italy,1,England;France;Germany;Turkey,Germany,4,1,3,Germany,1
4,FALL,Russia,1,Austria;England;France;Germany;Turkey,Turkey,5,1,4,Turkey,1
4,FALL,Turkey,1,Russia,Russia,1,1,0,Austria;France;Germany;Italy;Russia,5
5,SPRING,Austria,2,England;France;Germany;Italy;Russia;Turkey,France;Russia,6,2,4,France;Russia,2
5,SPRING,England,2,Russia,,1,0,1,Austria;Germany;Turkey,3
5,SPRING,France,2,Austria;Italy;Russia;Turkey,Austria;Turkey,4,2,2,Austria;Turkey,2
5,SPRING,Germany,2,England,,1,0,1,Austria,1
5,SPRING,Italy,1,,,0,0,0,Austria;France;Russia,3
5,SPRING,Russia,1,Austria;Italy;Turkey,Austria,3,1,2,Austria;England;France,3
5,SPRING,Turkey,1,England;France,France,2,1,1,Austria;France;Russia,3
6,FALL,Austria,2,England;France;Germany;Russia;Turkey,England;France,5,2,3,England;France;Italy,3
6,FALL,England,2,Austria;France;Germany,Austria;France;Germany,3,3,0,Austria;France;Germany;Russia;Turkey,5
6,FALL,France,2,Austria;England;Germany;Italy;Russia;Turkey,Austria;England;Germany;Italy;Russia,6,5,1,Austria;England;Germany;Italy;Russia,5
6,FALL,Germany,2,England;France;Italy,England;France,3,2,1,Austria;England;France,3
6,FALL,Italy,1,Austria;France;Russia,France;Russia,3,2,1,France;Germany;Russia,3
6,FALL,Russia,1,England;France;Italy,France;Italy,3,2,1,Austria;France;Italy,3
6,FALL,Turkey,1,England,,1,0,1,Austria;France,2
7,SPRING,Austria,2,England;France;Italy;Turkey,Italy,4,1,3,Italy;Russia,2
7,SPRING,England,2,France,,1,0,1,Austria;Italy;Russia,3
7,SPRING,France,2,Italy;Russia,Russia,2,1,1,Austria;England;Germany;Russia,4
7,SPRING,Germany,2,France;Italy;Russia;Turkey,Turkey,4,1,3,Turkey,1
7,SPRING,Italy,1,Austria;England;Turkey,Austria;Turkey,3,2,1,Austria;France;Germany;Russia;Turkey,5
7,SPRING,Russia,1,Austria;England;France;Italy;Turkey,France,5,1,4,France;Germany,2
7,SPRING,Turkey,1,Germany;Italy,Germany;Italy,2,2,0,Austria;Germany;Italy;Russia,4
8,FALL,Austria,2,France;Germany;Russia;Turkey,Germany;Russia,4,2,2,Germany;Italy;Russia,3
8,FALL,England,2,France;Germany;Italy;Russia,Russia,4,1,3,Russia;Turkey,2
8,FALL,France,2,,,0,0,0,Austria;England;Germany;Italy;Turkey,5
8,FALL,Germany,2,Austria;France;Italy;Russia;Turkey,Austria;Italy;Turkey,5,3,2,Austria;England;Italy;Turkey,4
8,FALL,Italy,1,Austria;France;Germany;Russia;Turkey,Germany;Russia;Turkey,5,3,2,England;Germany;Russia;Turkey,4
8,FALL,Russia,1,Austria;England;Italy,Austria;England;Italy,3,3,0,Austria;England;Germany;Italy,4
8,FALL,Turkey,1,England;France;Germany;Italy,Germany;Italy,4,2,2,Austria;Germany;Italy,3
9,SPRING,Austria,2,Italy,,1,0,1,Germany;Russia,2
9,SPRING,England,2,France;Italy;Russia,Italy;Russia,3,2,1,Italy;Russia,2
9,SPRING,France,2,,,0,0,0,England;Germany;Russia,3
9,SPRING,Germany,2,Austria;France,,2,0,2,Russia,1
9,SPRING,Italy,1,England;Russia;Turkey,England;Russia;Turkey,3,3,0,Austria;England;Russia;Turkey,4
9,SPRING,Russia,1,Austria;England;France;Germany;Italy;Turkey,England;Italy;Turkey,6,3,3,England;Italy;Turkey,3
9,SPRING,Turkey,1,Italy;Russia,Italy;Russia,2,2,0,Italy;Russia,2
10,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,Germany;Turkey,6,2,4,Germany;Turkey,2
10,FALL,England,2,Germany;Italy,Germany,2,1,1,Austria;Germany;Turkey,3
10,FALL,France,2,Italy,,1,0,1,Austria;Germany,2
10,FALL,Germany,2,Austria;England;France;Italy;Russia;Turkey,Austria;England,6,2,4,Austria;England,2
10,FALL,Italy,1,Russia,,1,0,1,Austria;England;France;Germany;Turkey,5
10,FALL,Russia,1,,,0,0,0,Austria;Germany;Italy;Turkey,4
10,FALL,Turkey,1,Austria;England;Italy;Russia,Austria,4,1,3,Austria;Germany,2
11,SPRING,Austria,2,Italy,,1,0,1,England;Russia;Turkey,3
11,SPRING,England,2,Austria;France;Italy;Russia,Russia,4,1,3,Russia,1
11,SPRING,France,2,Turkey,,1,0,1,England;Russia,2
11,SPRING,Germany,2,,,0,0,0,Russia,1
11,SPRING,Italy,1,,,0,0,0,Austria;England;Russia,3
11,SPRING,Russia,1,Austria;England;France;Germany;Italy;Turkey,England;Turkey,6,2,4,England;Turkey,2
11,SPRING,Turkey,1,Austria;Russia,Russia,2,1,1,France;Russia,2
12,FALL,Austria,2,England;France;Germany;Italy;Turkey,France;Italy,5,2,3,France;Italy;Russia,3
12,FALL,England,2,,,0,0,0,Austria;Italy;Turkey,3
12,FALL,France,2,Austria;Germany;Italy;Turkey,Austria;Italy,4,2,2,Austria;Italy,2
12,FALL,Germany,2,,,0,0,0,Austria;France;Italy;Russia;Turkey,5
12,FALL,Italy,1,Austria;England;France;Germany;Turkey,Austria;France;Turkey,5,3,2,Austria;France;Russia;Turkey,4
12,FALL,Russia,1,Austria;Germany;Italy;Turkey,,4,0,4,,0
12,FALL,Turkey,1,England;Germany;Italy,Italy,3,1,2,Austria;France;Italy;Russia,4
13,SPRING,Austria,2,England;France;Russia;Turkey,England;France;Russia,4,3,1,England;France;Germany;Russia,4
13,SPRING,England,2,Austria;France;Italy,Austria;France,3,2,1,Austria;France,2
13,SPRING,France,2,Austria;England;Germany;Italy;Russia;Turkey,Austria;England;Germany;Italy;Russia;Turkey,6,6,0,Austria;England;Germany;Italy;Russia;Turkey,6
13,SPRING,Germany,2,Austria;France;Italy,France,3,1,2,France;Russia,2
13,SPRING,Italy,1,France;Russia,France;Russia,2,2,0,England;France;Germany;Russia,4
