round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,Italy,,1,0,1,Turkey,1
1,SPRING,England,2,France,,1,0,1,Italy;Russia;Turkey,3
1,SPRING,France,1,Germany;Italy,,2,0,2,England,1
1,SPRING,Germany,1,,,0,0,0,France;Italy,2
1,SPRING,Italy,1,England;Germany;Russia;Turkey,,4,0,4,Austria;France,2
1,SPRING,Russia,1,England,,1,0,1,Italy,1
1,SPRING,Turkey,1,Austria;England,,2,0,2,Italy,1
2,FALL,Austria,2,England;Italy,,2,0,2,Turkey,1
2,FALL,England,2,France,France,1,1,0,Austria;France;Germany;Russia;Turkey,5
2,FALL,France,1,England;Russia,England,2,1,1,England,1
2,FALL,Germany,1,England;Russia;Turkey,Russia,3,1,2,Russia,1
2,FALL,Italy,1,Turkey,Turkey,1,1,0,Austria;Turkey,2
2,FALL,Russia,1,England;Germany,Germany,2,1,1,France;Germany;Turkey,3
2,FALL,Turkey,1,Austria;England;Italy;Russia,Italy,4,1,3,Germany;Italy,2
3,SPRING,Austria,2,Italy,Italy,1,1,0,France;Germany;Italy;Turkey,4
3,SPRING,England,2,Germany;Italy;Russia;Turkey,Germany;Turkey,4,2,2,Germany;Turkey,2
3,SPRING,France,1,Austria;Italy,Italy,2,1,1,Germany;Italy;Turkey,3
3,SPRING,Germany,1,Austria;England;France;Russia,England;Russia,4,2,2,England;Russia;Turkey,3
3,SPRING,Italy,1,Austria;France;Russia;Turkey,Austria;France;Turkey,4,3,1,Austria;England;France;Turkey,4
3,SPRING,Russia,1,Germany,Germany,1,1,0,England;Germany;Italy;Turkey,4
3,SPRING,Turkey,1,Austria;England;France;Germany;Italy;Russia,England;Italy,6,2,4,England;Italy,2
4,FALL,Austria,2,Germany,Germany,1,1,0,France;Germany;Russia;Turkey,4
4,FALL,England,2,,,0,0,0,Germany;Italy,2
4,FALL,France,1,Austria;Russia,Russia,2,1,1,Russia,1
4,FALL,Germany,1,Austria;England;Italy;Turkey,Austria;Italy,4,2,2,Austria;Italy;Russia,3
4,FALL,Italy,1,England;Germany,Germany,2,1,1,Germany,1
4,FALL,Russia,1,Austria;France;Germany;Turkey,France,4,1,3,France,1
4,FALL,Turkey,1,Austria,,1,0,1,Germany;Russia,2
5,SPRING,Austria,2,England;France;Germany;Italy;Russia;Turkey,France,6,1,5,France,1
5,SPRING,England,2,,,0,0,0,Austria,1
5,SPRING,France,1,Austria;Germany;Italy;Russia;Turkey,Austria,5,1,4,Austria,1
5,SPRING,Germany,1,,,0,0,0,Austria;France,2
5,SPRING,Italy,1,Turkey,Turkey,1,1,0,Austria;France;Turkey,3
5,SPRING,Russia,1,Turkey,,1,0,1,Austria;France,2
5,SPRING,Turkey,1,Italy,Italy,1,1,0,Austria;France;Italy;Russia,4
6,FALL,Austria,2,England;France;Germany;Russia;Turkey,France;Germany;Russia;Turkey,5,4,1,France;Germany;Italy;Russia;Turkey,5
6,FALL,England,2,,,0,0,0,Austria;Germany,2
6,FALL,France,1,Austria;Germany;Turkey,Austria;Germany,3,2,1,Austria;Germany,2
6,FALL,Germany,1,Austria;England;France;Italy,Austria;France,4,2,2,Austria;France;Russia,3
6,FALL,Italy,1,Austria,,1,0,1,Germany,1
6,FALL,Russia,1,Austria;Germany;Turkey,Austria;Turkey,3,2,1,Austria;Turkey,2
6,FALL,Turkey,1,Austria;Russia,Austria;Russia,2,2,0,Austria;France;Russia,3
7,SPRING,Austria,2,Turkey,,1,0,1,Germany;Italy;Russia,3
7,SPRING,England,2,Germany,Germany,1,1,0,Germany;Italy;Russia,3
7,SPRING,France,1,Italy;Russia;Turkey,Italy;Russia,3,2,1,Germany;Italy;Russia,3
7,SPRING,Germany,1,Austria;England;France;Italy;Russia;Turkey,England;Italy;Russia,6,3,3,England;Italy;Russia,3
7,SPRING,Italy,1,Austria;England;France;Germany;Russia;Turkey,France;Germany;Russia;Turkey,6,4,2,France;Germany;Russia;Turkey,4
7,SPRING,Russia,1,Austria;England;France;Germany;Italy;Turkey,France;Germany;Italy;Turkey,6,4,2,France;Germany;Italy;Turkey,4
7,SPRING,Turkey,1,Italy;Russia,Italy;Russia,2,2,0,Austria;France;Germany;Italy;Russia,5
8,FALL,Austria,2,Italy;Turkey,Turkey,2,1,1,Turkey,1
8,FALL,England,2,,,0,0,0,Germany,1
8,FALL,France,1,Germany,,1,0,1,Italy,1
8,FALL,Germany,1,England,,1,0,1,France;Russia,2
8,FALL,Italy,1,France;Turkey,,2,0,2,Austria,1
8,FALL,Russia,1,Germany,,1,0,1,,0
8,FALL,Turkey,1,Austria,Austria,1,1,0,Austria;Italy,2
9,SPRING,Austria,2,England;France;Germany;Italy;Russia,England;France;Russia,5,3,2,England;France;Russia;Turkey,4
9,SPRING,England,2,Austria;France;Turkey,Austria,3,1,2,Austria;Germany;Russia,3
9,SPRING,France,1,Austria;Germany;Italy;Russia;Turkey,Austria;Germany,5,2,3,Austria;England;Germany,3
9,SPRING,Germany,1,England;France,France,2,1,1,Austria;France;Russia,3
9,SPRING,Italy,1,,,0,0,0,Austria;France;Russia,3
9,SPRING,Russia,1,Austria;England;Germany;Italy;Turkey,Austria;Turkey,5,2,3,Austria;France;Turkey,3
9,SPRING,Turkey,1,Austria;Russia,Russia,2,1,1,England;France;Russia,3
10,FALL,Austria,2,Turkey,Turkey,1,1,0,England;Russia;Turkey,3
10,FALL,England,2,Austria;France;Germany;Italy,,4,0,4,Russia;Turkey,2
10,FALL,France,1,,,0,0,0,England;Germany,2
10,FALL,Germany,1,France;Italy;Russia;Turkey,Italy;Russia,4,2,2,England;Italy;Russia,3
10,FALL,Italy,1,Germany;Russia,Germany,2,1,1,England;Germany;Turkey,3
10,FALL,Russia,1,Austria;England;Germany;Turkey,Germany;Turkey,4,2,2,Germany;Italy;Turkey,3
10,FALL,Turkey,1,Austria;England;Italy;Russia,Austria;Russia,4,2,2,Austria;Germany;Russia,3
11,SPRING,Austria,2,France;Italy,France,2,1,1,England;France;Turkey,3
11,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,Italy;Turkey,6,2,4,Italy;Turkey,2
11,SPRING,France,1,Austria;Germany;Italy;Russia,Austria;Italy;Russia,4,3,1,Austria;England;Italy;Russia,4
11,SPRING,Germany,1,,,0,0,0,England;France,2
11,SPRING,Italy,1,England;France;Russia;Turkey,England;France,4,2,2,Austria;England;France,3
11,SPRING,Russia,1,France,France,1,1,0,England;France;Italy,3
11,SPRING,Turkey,1,Austria;England,England,2,1,1,England;Italy,2
12,FALL,Austria,2,,,0,0,0,France;Italy;Turkey,3
12,FALL,England,2,France,,1,0,1,Italy,1
12,FALL,France,1,Austria;Germany;Italy;Turkey,Germany,4,1,3,England;Germany,2
12,FALL,Germany,1,France,France,1,1,0,France,1
12,FALL,Italy,1,Austria;England,,2,0,2,France,1
12,FALL,Russia,1,,,0,0,0,,0
12,FALL,Turkey,1,Austria,,1,0,1,France,1
13,SPRING,Austria,2,England;France;Germany;Italy;Turkey,England;France,5,2,3,England;France;Russia,3
13,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,Austria;Russia;Turkey,6,3,3,Austria;Russia;Turkey,3
13,SPRING,France,1,Austria;Russia,Austria;Russia,2,2,0,Austria;England;Russia,3
13,SPRING,Germany,1,,,0,0,0,Austria;England;Russia;Turkey,4
13,SPRING,Italy,1,,,0,0,0,Austria;England;Turkey,3
13,SPRING,Russia,1,Austria;England;France;Germany;Turkey,England;France;Turkey,5,3,2,England;France;Turkey,3
13,SPRING,Turkey,1,England;Germany;Italy;Russia,England;Russia,4,2,2,Austria;England;Russia,3
14,FALL,Austria,2,,,0,0,0,Russia;Turkey,2
14,FALL,England,2,France;Italy,,2,0,2,Germany;Russia,2
14,FALL,France,1,,,0,0,0,England;Germany;Russia,3
