round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,1,Italy,,1,0,1,Turkey,1
1,SPRING,England,1,France,,1,0,1,Italy;Russia;Turkey,3
1,SPRING,France,1,Germany;Italy,,2,0,2,England,1
1,SPRING,Germany,1,,,0,0,0,France;Italy;Turkey,3
1,SPRING,Italy,1,England;Germany;Russia;Turkey,,4,0,4,Austria;France,2
1,SPRING,Russia,1,England,,1,0,1,Italy;Turkey,2
1,SPRING,Turkey,2,Austria;England;Germany;Russia,,4,0,4,Italy,1
2,FALL,Austria,1,England;Italy,,2,0,2,Turkey,1
2,FALL,England,1,France,France,1,1,0,Austria;France;Germany;Russia;Turkey,5
2,FALL,France,1,England;Russia,England,2,1,1,England,1
2,FALL,Germany,1,England;Russia;Turkey,Russia,3,1,2,Russia,1
2,FALL,Italy,1,Turkey,Turkey,1,1,0,Austria;Turkey,2
2,FALL,Russia,1,England;Germany,Germany,2,1,1,France;Germany;Turkey,3
2,FALL,Turkey,2,Austria;England;Italy;Russia,Italy,4,1,3,Germany;Italy,2
3,SPRING,Austria,1,Italy,Italy,1,1,0,England;France;Germany;Italy;Turkey,5
3,SPRING,England,1,Austria;France;Germany;Italy;Russia;Turkey,Germany;Turkey,6,2,4,Germany;Turkey,2
3,SPRING,France,1,Austria;Italy,Italy,2,1,1,England;Germany;Italy;Turkey,4
3,SPRING,Germany,1,Austria;England;France;Russia,England;Russia,4,2,2,England;Russia;Turkey,3
3,SPRING,Italy,1,Austria;France;Russia;Turkey,Austria;France;Turkey,4,3,1,Austria;England;France;Turkey,4
3,SPRING,Russia,1,Germany,Germany,1,1,0,England;Germany;Italy;Turkey,4
3,SPRING,Turkey,2,Austria;England;France;Germany;Italy;Russia,England;Italy,6,2,4,England;Italy,2
4,FALL,Austria,1,England;France;Germany,France;Germany,3,2,1,France;Germany;Russia;Turkey,4
4,FALL,England,1,Turkey,,1,0,1,Austria;Germany;Italy,3
4,FALL,France,1,Austria;Russia,Austria;Russia,2,2,0,Austria;Russia,2
4,FALL,Germany,1,Austria;England;Italy;Russia;Turkey,Austria;Italy;Russia,5,3,2,Austria;Italy;Russia,3
4,FALL,Italy,1,England;Germany,Germany,2,1,1,Germany,1
4,FALL,Russia,1,Austria;France;Germany;Turkey,France;Germany,4,2,2,France;Germany,2
4,FALL,Turkey,2,Austria,,1,0,1,England;Germany;Russia,3
5,SPRING,Austria,1,England;Italy;Russia;Turkey,Russia,4,1,3,France;Russia,2
5,SPRING,England,1,France,,1,0,1,Austria;Italy;Turkey,3
5,SPRING,France,1,Austria;Turkey,,2,0,2,England;Italy;Russia,3
5,SPRING,Germany,1,,,0,0,0,,0
5,SPRING,Italy,1,England;France;Russia,Russia,3,1,2,Austria;Russia,2
5,SPRING,Russia,1,Austria;France;Italy;Turkey,Austria;Italy,4,2,2,Austria;Italy,2
5,SPRING,Turkey,2,England,,1,0,1,Austria;France;Russia,3
6,FALL,Austria,1,England;France;Germany;Italy;Russia,France;Germany;Russia,5,3,2,France;Germany;Russia;Turkey,4
6,FALL,England,1,Germany;Italy;Russia,Germany;Italy;Russia,3,3,0,Austria;France;Germany;Italy;Russia,5
6,FALL,France,1,Austria;England;Germany;Italy;Russia;Turkey,Austria;Germany;Italy;Russia,6,4,2,Austria;Germany;Italy;Russia,4
6,FALL,Germany,1,Austria;England;France;Italy,Austria;England;France,4,3,1,Austria;England;France;Russia,4
6,FALL,Italy,1,England;France,England;France,2,2,0,Austria;England;France;Germany;Russia;Turkey,6
6,FALL,Russia,1,Austria;England;France;Germany;Italy;Turkey,Austria;England;France;Turkey,6,4,2,Austria;England;France;Turkey,4
6,FALL,Turkey,2,Austria;Italy;Russia,Russia,3,1,2,France;Russia,2
7,SPRING,Austria,1,England;France;Germany;Italy;Russia;Turkey,England;Germany;Italy;Russia,6,4,2,England;Germany;Italy;Russia,4
