round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,France,,1,0,1,Germany;Italy,2
1,SPRING,England,2,Germany;Italy;Turkey,Germany;Italy,3,2,1,Germany;Italy,2
1,SPRING,France,2,Germany;Italy;Russia;Turkey,Germany;Italy;Turkey,4,3,1,Austria;Germany;Italy;Turkey,4
1,SPRING,Germany,2,Austria;England;France;Italy;Russia,England;France;Italy;Russia,5,4,1,England;France;Italy;Russia,4
1,SPRING,Italy,1,Austria;England;France;Germany;Russia;Turkey,England;France;Germany;Turkey,6,4,2,England;France;Germany;Turkey,4
1,SPRING,Russia,1,Germany,Germany,1,1,0,France;Germany;Italy,3
1,SPRING,Turkey,1,France;Italy,France;Italy,2,2,0,England;France;Italy,3
2,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,Italy;Russia,6,2,4,Italy;Russia,2
2,FALL,England,2,Russia,Russia,1,1,0,Austria;France;Italy;Russia;Turkey,5
2,FALL,France,2,England;Italy,Italy,2,1,1,Austria;Italy;Russia;Turkey,4
2,FALL,Germany,2,Italy,Italy,1,1,0,Austria;Italy;Russia,3
2,FALL,Italy,1,Austria;England;France;Germany;Russia;Turkey,Austria;France;Germany;Russia,6,4,2,Austria;France;Germany;Russia,4
2,FALL,Russia,1,Austria;England;France;Germany;Italy;Turkey,Austria;England;Italy,6,3,3,Austria;England;Italy,3
2,FALL,Turkey,1,England;France,,2,0,2,Austria;Italy;Russia,3
3,SPRING,Austria,2,England;France;Germany;Italy;Russia,Italy,5,1,4,Italy;Turkey,2
3,SPRING,England,2,France,,1,0,1,Austria,1
3,SPRING,France,2,,,0,0,0,Austria;England,2
3,SPRING,Germany,2,,,0,0,0,Austria;Italy,2
3,SPRING,Italy,1,Austria;Germany,Austria,2,1,1,Austria,1
3,SPRING,Russia,1,,,0,0,0,Austria,1
3,SPRING,Turkey,1,Austria,,1,0,1,,0
4,FALL,Austria,2,Germany;Turkey,Germany,2,1,1,England;Germany;Italy,3
4,FALL,England,2,Austria;France;Italy;Russia;Turkey,Russia,5,1,4,Germany;Russia,2
4,FALL,France,2,,,0,0,0,England;Germany;Russia,3
4,FALL,Germany,2,Austria;England;France;Russia;Turkey,Austria;Russia,5,2,3,Austria;Italy;Russia,3
4,FALL,Italy,1,Austria;Germany;Russia;Turkey,,4,0,4,England,1
4,FALL,Russia,1,England;France;Germany,England;Germany,3,2,1,England;Germany;Italy,3
4,FALL,Turkey,1,,,0,0,0,Austria;England;Germany;Italy,4
5,SPRING,Austria,2,France;Germany;Italy;Russia;Turkey,Germany;Italy;Russia,5,3,2,Germany;Italy;Russia,3
5,SPRING,England,2,France;Russia,Russia,2,1,1,Italy;Russia,2
5,SPRING,France,2,,,0,0,0,Austria;England;Italy;Russia,4
5,SPRING,Germany,2,Austria;Russia,Austria,2,1,1,Austria,1
5,SPRING,Italy,1,Austria;England;France;Russia;Turkey,Austria;Russia,5,2,3,Austria;Russia,2
5,SPRING,Russia,1,Austria;England;France;Italy;Turkey,Austria;England;Italy,5,3,2,Austria;England;Germany;Italy,4
5,SPRING,Turkey,1,,,0,0,0,Austria;Italy;Russia,3
6,FALL,Austria,2,Germany,Germany,1,1,0,Germany;Russia;Turkey,3
6,FALL,England,2,Germany;Italy;Russia;Turkey,Germany,4,1,3,Germany,1
6,FALL,France,2,Germany;Russia;Turkey,Germany,3,1,2,Germany;Italy,2
6,FALL,Germany,2,Austria;England;France;Turkey,Austria;England;France,4,3,1,Austria;England;France;Italy;Russia,5
6,FALL,Italy,1,France;Germany;Russia;Turkey,,4,0,4,England,1
6,FALL,Russia,1,Austria;Germany;Turkey,,3,0,3,England;France;Italy,3
6,FALL,Turkey,1,Austria,,1,0,1,England;France;Germany;Italy;Russia,5
7,SPRING,Austria,2,England;France;Germany;Russia;Turkey,England;France;Germany,5,3,2,England;France;Germany,3
7,SPRING,England,2,Austria;France;Russia;Turkey,Austria;France,4,2,2,Austria;France,2
