round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,3,France,,1,0,1,Germany;Italy,2
1,SPRING,England,3,Germany;Italy;Turkey,Germany;Italy,3,2,1,Germany;Italy,2
1,SPRING,France,3,Germany;Italy;Russia;Turkey,Germany;Italy;Turkey,4,3,1,Austria;Germany;Italy;Turkey,4
1,SPRING,Germany,3,Austria;England;France;Italy;Russia,England;France;Italy;Russia,5,4,1,England;France;Italy;Russia,4
1,SPRING,Italy,2,Austria;England;France;Germany;Russia;Turkey,England;France;Germany;Turkey,6,4,2,England;France;Germany;Turkey,4
1,SPRING,Russia,2,Germany,Germany,1,1,0,France;Germany;Italy,3
1,SPRING,Turkey,2,France;Italy,France;Italy,2,2,0,England;France;Italy,3
2,FALL,Austria,3,England;France;Germany;Italy;Russia;Turkey,Italy;Russia,6,2,4,Italy;Russia,2
2,FALL,England,3,France;Russia,France;Russia,2,2,0,Austria;France;Italy;Russia;Turkey,5
2,FALL,France,3,England;Italy,England;Italy,2,2,0,Austria;England;Italy;Russia;Turkey,5
2,FALL,Germany,3,Italy,Italy,1,1,0,Austria;Italy;Russia,3
2,FALL,Italy,2,Austria;England;France;Germany;Russia;Turkey,Austria;France;Germany;Russia,6,4,2,Austria;France;Germany;Russia,4
2,FALL,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;England;Italy,6,3,3,Austria;England;Italy,3
2,FALL,Turkey,2,England;France,,2,0,2,Austria;Italy;Russia,3
3,SPRING,Austria,3,England;Germany;Russia,Germany;Russia,3,2,1,France;Germany;Italy;Russia,4
3,SPRING,England,3,France,,1,0,1,Austria;Italy,2
3,SPRING,France,3,Austria;Italy,Italy,2,1,1,England;Germany;Italy;Russia,4
3,SPRING,Germany,3,Austria;France;Russia;Turkey,Austria;Russia,4,2,2,Austria;Italy;Russia,3
3,SPRING,Italy,2,Austria;England;France;Germany;Russia;Turkey,France,6,1,5,France,1
3,SPRING,Russia,2,Austria;France;Germany;Turkey,Austria;Germany,4,2,2,Austria;Germany;Italy,3
3,SPRING,Turkey,2,,,0,0,0,Germany;Italy;Russia,3
4,FALL,Austria,3,England;France;Germany;Italy;Turkey,England;France;Germany;Italy,5,4,1,England;France;Germany;Italy,4
4,FALL,England,3,Austria;France;Germany;Italy;Russia,Austria;France;Germany;Russia,5,4,1,Austria;France;Germany;Russia,4
4,FALL,France,3,Austria;England;Germany;Italy;Russia;Turkey,Austria;England;Germany;Italy;Russia,6,5,1,Austria;England;Germany;Italy;Russia,5
4,FALL,Germany,3,Austria;England;France;Italy;Russia;Turkey,Austria;England;France;Italy;Russia,6,5,1,Austria;England;France;Italy;Russia,5
4,FALL,Italy,2,Austria;France;Germany;Russia,Austria;France;Germany,4,3,1,Austria;England;France;Germany,4
4,FALL,Russia,2,England;France;Germany;Turkey,England;France;Germany,4,3,1,England;France;Germany;Italy,4
4,FALL,Turkey,2,,,0,0,0,Austria;France;Germany;Russia,4
